input_id,accent_group,noise_condition,wer,cer
us_000_clean,us,clean,0.0,0.0
us_000_snr10,us,snr10,0.4,0.10526315789473684
us_000_snr0,us,snr0,0.6,0.42105263157894735
us_001_clean,us,clean,0.3333333333333333,0.3076923076923077
us_001_snr10,us,snr10,0.3333333333333333,0.3076923076923077
us_001_snr0,us,snr0,0.3333333333333333,0.3076923076923077
us_002_clean,us,clean,0.0,0.0
us_002_snr10,us,snr10,0.0,0.0
us_002_snr0,us,snr0,1.6666666666666667,0.6956521739130435
us_003_clean,us,clean,0.0,0.0
us_003_snr10,us,snr10,0.2,0.045454545454545456
us_003_snr0,us,snr0,1.0,0.6818181818181818
us_004_clean,us,clean,0.0,0.0
us_004_snr10,us,snr10,0.5454545454545454,0.2982456140350877
us_004_snr0,us,snr0,0.9090909090909091,0.8070175438596491
us_005_clean,us,clean,0.08333333333333333,0.014492753623188406
us_005_snr10,us,snr10,0.6666666666666666,0.2753623188405797
us_005_snr0,us,snr0,1.0,0.6521739130434783
us_006_clean,us,clean,0.0,0.0
us_006_snr10,us,snr10,0.25,0.1875
us_006_snr0,us,snr0,1.0,0.8125
us_007_clean,us,clean,0.5,0.1875
us_007_snr10,us,snr10,0.0,0.0
us_007_snr0,us,snr0,1.0,0.75
us_008_clean,us,clean,0.4166666666666667,0.11594202898550725
us_008_snr10,us,snr10,0.9166666666666666,0.5797101449275363
us_008_snr0,us,snr0,1.0,0.7681159420289855
us_009_clean,us,clean,0.5714285714285714,0.2682926829268293
us_009_snr10,us,snr10,0.7142857142857143,0.36585365853658536
us_009_snr0,us,snr0,1.0,0.8780487804878049
india_000_clean,india,clean,0.3333333333333333,0.1044776119402985
india_000_snr10,india,snr10,0.75,0.2835820895522388
india_000_snr0,india,snr0,0.9166666666666666,0.7611940298507462
india_001_clean,india,clean,0.6,0.3617021276595745
india_001_snr10,india,snr10,0.8,0.48936170212765956
india_001_snr0,india,snr0,1.0,0.6808510638297872
india_002_clean,india,clean,0.3333333333333333,0.1111111111111111
india_002_snr10,india,snr10,0.7222222222222222,0.4111111111111111
india_002_snr0,india,snr0,1.0,0.7111111111111111
india_003_clean,india,clean,0.0,0.0
india_003_snr10,india,snr10,0.0,0.0
india_003_snr0,india,snr0,0.6666666666666666,0.6923076923076923
india_004_clean,india,clean,1.0,0.5128205128205128
india_004_snr10,india,snr10,1.6,0.7692307692307693
india_004_snr0,india,snr0,1.0,0.717948717948718
india_005_clean,india,clean,0.625,0.5238095238095238
india_005_snr10,india,snr10,0.25,0.35714285714285715
india_005_snr0,india,snr0,1.0,0.6904761904761905
india_006_clean,india,clean,0.5714285714285714,0.37209302325581395
india_006_snr10,india,snr10,1.0,0.5581395348837209
india_006_snr0,india,snr0,1.0,1.0
india_007_clean,india,clean,0.2857142857142857,0.029411764705882353
india_007_snr10,india,snr10,0.5714285714285714,0.17647058823529413
india_007_snr0,india,snr0,1.0,0.5882352941176471
india_008_clean,india,clean,0.375,0.21052631578947367
india_008_snr10,india,snr10,0.625,0.42105263157894735
india_008_snr0,india,snr0,0.625,0.3684210526315789
india_009_clean,india,clean,0.8333333333333334,0.3225806451612903
india_009_snr10,india,snr10,1.0,0.5806451612903226
india_009_snr0,india,snr0,1.0,0.6129032258064516
german_000_clean,german,clean,0.16666666666666666,0.029850746268656716
german_000_snr10,german,snr10,0.5833333333333334,0.3880597014925373
german_000_snr0,german,snr0,1.0,0.9104477611940298
german_001_clean,german,clean,0.125,0.0392156862745098
german_001_snr10,german,snr10,1.0,0.47058823529411764
german_001_snr0,german,snr0,1.0,0.9411764705882353
german_002_clean,german,clean,1.2,0.5
german_002_snr10,german,snr10,1.0,0.6
german_002_snr0,german,snr0,1.0,1.0
german_003_clean,german,clean,0.14285714285714285,0.041237113402061855
german_003_snr10,german,snr10,0.35714285714285715,0.1134020618556701
german_003_snr0,german,snr0,1.0,0.6907216494845361
german_004_clean,german,clean,0.23076923076923078,0.058823529411764705
german_004_snr10,german,snr10,0.3076923076923077,0.10588235294117647
german_004_snr0,german,snr0,0.8461538461538461,0.5176470588235295
german_005_clean,german,clean,0.07692307692307693,0.0125
german_005_snr10,german,snr10,0.46153846153846156,0.2375
german_005_snr0,german,snr0,1.0,0.9
german_006_clean,german,clean,0.0,0.0
german_006_snr10,german,snr10,0.1111111111111111,0.10204081632653061
german_006_snr0,german,snr0,1.0,0.8367346938775511
german_007_clean,german,clean,0.35714285714285715,0.10666666666666667
german_007_snr10,german,snr10,1.0,0.5866666666666667
german_007_snr0,german,snr0,1.0,0.9866666666666667
german_008_clean,german,clean,0.14285714285714285,0.04918032786885246
german_008_snr10,german,snr10,0.2857142857142857,0.19672131147540983
german_008_snr0,german,snr0,1.0,0.9836065573770492
german_009_clean,german,clean,0.3076923076923077,0.08974358974358974
german_009_snr10,german,snr10,0.6923076923076923,0.44871794871794873
german_009_snr0,german,snr0,1.0,0.782051282051282
