input_id,accent_group,noise_condition,wer,cer
us_000_clean,us,clean,0.0,0.0
us_000_snr10,us,snr10,0.2,0.05263157894736842
us_000_snr0,us,snr0,0.8,0.6842105263157895
us_001_clean,us,clean,0.0,0.0
us_001_snr10,us,snr10,0.0,0.0
us_001_snr0,us,snr0,0.0,0.0
us_002_clean,us,clean,0.0,0.0
us_002_snr10,us,snr10,0.0,0.0
us_002_snr0,us,snr0,0.0,0.0
us_003_clean,us,clean,0.0,0.0
us_003_snr10,us,snr10,0.0,0.0
us_003_snr0,us,snr0,0.0,0.0
us_004_clean,us,clean,0.0,0.0
us_004_snr10,us,snr10,0.0,0.0
us_004_snr0,us,snr0,0.36363636363636365,0.38596491228070173
us_005_clean,us,clean,0.16666666666666666,0.057971014492753624
us_005_snr10,us,snr10,0.16666666666666666,0.08695652173913043
us_005_snr0,us,snr0,0.4166666666666667,0.3333333333333333
us_006_clean,us,clean,0.0,0.0
us_006_snr10,us,snr10,0.0,0.0
us_006_snr0,us,snr0,0.0,0.0
us_007_clean,us,clean,0.0,0.0
us_007_snr10,us,snr10,0.0,0.0
us_007_snr0,us,snr0,0.0,0.0
us_008_clean,us,clean,0.3333333333333333,0.08695652173913043
us_008_snr10,us,snr10,0.3333333333333333,0.08695652173913043
us_008_snr0,us,snr0,1.0,0.6956521739130435
us_009_clean,us,clean,0.5714285714285714,0.34146341463414637
us_009_snr10,us,snr10,0.42857142857142855,0.21951219512195122
us_009_snr0,us,snr0,0.8571428571428571,0.6585365853658537
india_000_clean,india,clean,0.25,0.05970149253731343
india_000_snr10,india,snr10,0.3333333333333333,0.11940298507462686
india_000_snr0,india,snr0,0.75,0.5671641791044776
india_001_clean,india,clean,0.1,0.0425531914893617
india_001_snr10,india,snr10,0.1,0.0425531914893617
india_001_snr0,india,snr0,0.1,0.0425531914893617
india_002_clean,india,clean,0.2777777777777778,0.13333333333333333
india_002_snr10,india,snr10,0.16666666666666666,0.1111111111111111
india_002_snr0,india,snr0,0.9444444444444444,0.7222222222222222
india_003_clean,india,clean,0.0,0.0
india_003_snr10,india,snr10,0.0,0.0
india_003_snr0,india,snr0,0.0,0.0
india_004_clean,india,clean,0.6,0.3076923076923077
india_004_snr10,india,snr10,1.2,0.6410256410256411
india_004_snr0,india,snr0,1.0,0.8717948717948718
india_005_clean,india,clean,0.125,0.14285714285714285
india_005_snr10,india,snr10,0.5,0.40476190476190477
india_005_snr0,india,snr0,1.125,0.5238095238095238
india_006_clean,india,clean,0.2857142857142857,0.18604651162790697
india_006_snr10,india,snr10,1.0,0.3023255813953488
india_006_snr0,india,snr0,1.0,0.6744186046511628
india_007_clean,india,clean,0.0,0.0
india_007_snr10,india,snr10,0.42857142857142855,0.20588235294117646
india_007_snr0,india,snr0,0.2857142857142857,0.2647058823529412
india_008_clean,india,clean,0.375,0.18421052631578946
india_008_snr10,india,snr10,0.625,0.3684210526315789
india_008_snr0,india,snr0,0.875,0.7105263157894737
india_009_clean,india,clean,0.0,0.0
india_009_snr10,india,snr10,1.0,0.8064516129032258
india_009_snr0,india,snr0,1.0,0.7419354838709677
german_000_clean,german,clean,0.16666666666666666,0.029850746268656716
german_000_snr10,german,snr10,0.4166666666666667,0.08955223880597014
german_000_snr0,german,snr0,0.8333333333333334,0.29850746268656714
german_001_clean,german,clean,0.0,0.0
german_001_snr10,german,snr10,0.75,0.29411764705882354
german_001_snr0,german,snr0,0.75,0.6274509803921569
german_002_clean,german,clean,0.4,0.3
german_002_snr10,german,snr10,0.6,0.4
german_002_snr0,german,snr0,1.0,0.8666666666666667
german_003_clean,german,clean,0.21428571428571427,0.09278350515463918
german_003_snr10,german,snr10,0.21428571428571427,0.061855670103092786
german_003_snr0,german,snr0,0.21428571428571427,0.10309278350515463
german_004_clean,german,clean,0.15384615384615385,0.047058823529411764
german_004_snr10,german,snr10,0.15384615384615385,0.058823529411764705
german_004_snr0,german,snr0,0.6153846153846154,0.32941176470588235
german_005_clean,german,clean,0.23076923076923078,0.025
german_005_snr10,german,snr10,0.23076923076923078,0.0875
german_005_snr0,german,snr0,0.38461538461538464,0.1875
german_006_clean,german,clean,0.0,0.0
german_006_snr10,german,snr10,0.0,0.0
german_006_snr0,german,snr0,0.3333333333333333,0.16326530612244897
german_007_clean,german,clean,0.07142857142857142,0.04
german_007_snr10,german,snr10,0.42857142857142855,0.24
german_007_snr0,german,snr0,0.9285714285714286,0.7066666666666667
german_008_clean,german,clean,0.2857142857142857,0.13114754098360656
german_008_snr10,german,snr10,0.2857142857142857,0.13114754098360656
german_008_snr0,german,snr0,0.35714285714285715,0.32786885245901637
german_009_clean,german,clean,0.15384615384615385,0.07692307692307693
german_009_snr10,german,snr10,0.8461538461538461,0.358974358974359
german_009_snr0,german,snr0,1.3846153846153846,0.8974358974358975
